diaSemana,horaInici,horaFi,materia,professorId,grupId,aulaId
3,9:00,10:00,,F,3B,
4,9:00,10:00,,LM,3C,
5,9:00,10:00,,AF,3rD,
1,9:00,10:00,,DP,4tA,
2,9:00,10:00,,IZ,4tB,
3,9:00,10:00,,BR,4tC,
4,10:00,11:00,,S,1A,
5,10:00,11:00,,A,1B,
1,10:00,11:00,,MA,1C,
2,10:00,11:00,,PF,2A,
3,10:00,11:00,,CM,2B,
4,10:00,11:00,,MS,2C,
5,10:00,11:00,,F,3A,
1,10:00,11:00,,JC,3B,
2,10:00,11:00,,R,3C,
3,10:00,11:00,,MV,3rD,
4,10:00,11:00,,L,4tA,
3,10:00,11:00,,MÇ,4tB,
3,10:00,11:00,,AP,4tC,
2,11:00,11:30,,JC,1A,
3,11:30,12:30,,S,1A,
5,11:30,12:30,,A,1B,
1,11:30,12:30,,MA,1C,
2,11:30,12:30,,LA,2A,
3,11:30,12:30,,MCY,2B,
5,11:30,12:30,,F,2C,
2,11:30,12:30,,JC,3A,
3,11:30,12:30,,R,3B,
5,11:30,12:30,,MS,3C,
1,11:30,12:30,,PF,3rD,
3,11:30,12:30,,AF,4tA,
1,11:30,12:30,,AN,4tB,
2,11:30,12:30,,NM,4tC,
3,12:30,13:30,,MCY,1A,
1,12:30,13:30,,JT,1B,
2,12:30,13:30,,S,1C,
4,12:30,13:30,,AN,2A,
5,12:30,13:30,,JM,2B,
1,12:30,13:30,,NM,2C,
4,12:30,13:30,,L,3A,
5,12:30,13:30,,MA,3B,
3,12:30,13:30,,A,3C,
3,12:30,13:30,,AP,3rD,
1,12:30,13:30,,IM,4tA,
4,12:30,13:30,,DP,4tB,
4,12:30,13:30,,MV,4tC,
5,13:30,14:30,,CM,1A,
1,13:30,14:30,,R,1B,
2,13:30,14:30,,JC(1ri3r) PF(2n),1C,
5,13:30,14:30,,AN,2A,
2,13:30,14:30,,JM,2B,
5,13:30,14:30,,NM,2C,
2,13:30,14:30,,L,3A,
